"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
1,"Taxi nach Leipzig","NDR","29.11.1970","Trimmel",1,"Friedhelm Werremeier,Peter Schulze-Rohr","Peter Schulze-Rohr","Erst nach der Fertigstellung zum Tatort umgewidmet."
2,"Saarbrücken, an einem Montag …","SR","13.12.1970","Liersdahl und Schäfermann",1,"Johannes Niem","Karl-Heinz Bieber","Erst nach der Fertigstellung zum Tatort umgewidmet."
3,"Kressin und der tote Mann im Fleet","WDR","10.1.1971","Kressin",1,"Wolfgang Menge","Peter Beauvais",""
4,"Auf offener Straße","SDR","07.2.1971","Lutz",1,"Leonie Ossowski, Gunther Solowjew","Theo Mezger","Lutz ermittelt in Mannheim"
5,"Kressin und der Laster nach Lüttich","WDR","07.3.1971","Kressin",2,"Wolfgang Menge","Tom Toelle",""
6,"Frankfurter Gold","HR","04.4.1971","Konrad",1,"Eberhard Fechner","Eberhard Fechner",""
7,"Kressin stoppt den Nordexpress","WDR","02.5.1971","Kressin",3,"Wolfgang Menge","Rolf von Sydow",""
8,"Blechschaden","NDR","13.6.1971","Finke",1,"Herbert Lichtenfeld","Wolfgang Petersen","Mit Götz George in einer Hauptrolle, 10 Jahre vor seinem ersten Auftritt als Tatort-Kommissar Schimanski."
9,"Exklusiv!","NDR","11.7.1971","Trimmel",2,"Friedhelm Werremeier","Peter Schulze-Rohr","Bereits 1969 ausgestrahlt, 1971 nachträglich zum Tatort umgewidmet"
10,"AE612 ohne Landeerlaubnis","NDR","12.9.1971","Trimmel",3,"Friedhelm Werremeier","Peter Schulze-Rohr",""
11,"Der Richter in Weiss","NDR","10.10.1971","Trimmel",4,"Friedhelm Werremeier","Peter Schulze-Rohr","Mit 119:19 Minuten der bis heute längste Tatort"
12,"Mordverdacht","ORF","07.11.1971","Marek",1,"Fritz Eckhardt","Walter Davy","Mit Paul Hörbiger"
13,"Der Boss","SFB","19.12.1971","Kasulke",1,"Johannes Hendrich","Heinz Schirk","Mit 56:18 Minuten der bis heute kürzeste Tatort"
14,"Münchner Kindl","BR","09.1.1972","Veigl",1,"Michael Kehlmann, Carl Merz","Michael Kehlmann","Ungewöhnlicher Einstieg in die Folge – der Vorspann erfolgt nach einem Gastauftritt des Tagesschausprechers Werner Veigel"
15,"Wenn Steine sprechen","SWF","13.2.1972","Pflüger",1,"Bruno Hampel","Erich Neureuther","Einziger Fall dieses Ermittlers."
16,"Der Fall Geisterbahn","HR","12.3.1972","Konrad",2,"Hansjörg Martin, Hans Dieter Schwarze","Hans Dieter Schwarze","Wegen unklarer Lizenzrechte nach Konkurs der Produktionsfirma nicht wiederholt"
17,"Kennwort Fähre","SDR","03.4.1972","Lutz",2,"Wolfgang Menge","Theo Mezger","Mit 102:24 Minuten außergewöhnlich lang; Lutz ermittelt in Friedrichshafen"
18,"Kressin und die Frau des Malers","WDR","28.5.1972","Kressin",4,"Pim de la Parra jr., Klaus Recht, Hans Heinrich Ziemann","Pim de la Parra jr.",""
19,"Strandgut","NDR","25.6.1972","Finke",2,"Herbert Lichtenfeld","Wolfgang Petersen",""
20,"Kressin und der Mann mit dem gelben Koffer","WDR","09.7.1972","Kressin",5,"Wolfgang Menge","Michael Verhoeven","Ernst Dieter Lueg und Friedrich Nowottny spielen sich selbst. Eberhard Feik spielt neun Jahre vor seinem ersten Auftritt als Schimanski-Assistent Thanner einen Wachtmeister."
21,"Rechnen Sie mit dem Schlimmsten","NDR","24.9.1972","Trimmel",5,"Friedhelm Werremeier","Peter Schulze-Rohr",""
22,"Rattennest","SFB","08.10.1972","Kasulke",2,"Johannes Hendrich","Günter Gräwert","Letzter Fall dieses Ermittlers
Mit Dieter Hallervorden und Ingrid van Bergen sowie den später als Tatort-Ermittler auftretenden Darstellern Götz George und Willy Semmelrogge."
23,"Die Samtfalle","ORF","12.11.1972","Marek",2,"Fritz Eckhardt","Walter Davy",""
24,"Kennwort Gute Reise","HR","10.12.1972","Konrad",3,"Daniel Christoff","Georg Tressler",""
25,"Tote Taube in der Beethovenstraße","WDR","07.1.1973","Kressin",6,"Samuel Fuller","Samuel Fuller","Lief in den USA im Kino"
26,"Ein ganz gewöhnlicher Mord","Radio Bremen","04.2.1973","Böck",1,"Dieter Wedel","Dieter Wedel","Einziger Fall dieses Ermittlers."
27,"Cherchez la femme oder Die Geister vom Mummelsee","SWF","04.3.1973","Gerber",1,"Dieter Waldmann","Wilm ten Haaf",""
28,"Stuttgarter Blüten","SDR","01.4.1973","Lutz",3,"Wolfgang Menge","Theo Mezger","Lutz ermittelt in Stuttgart; Willy Reicherts letzter Fernsehauftritt"
29,"Jagdrevier","NDR","13.5.1973","Finke",3,"Herbert Lichtenfeld","Wolfgang Petersen","Kressin kommt nicht als handelnde Figur vor, sondern Finke u. a. schauen den Tatort Nr. 18 ""Kressin und die Frau des Malers"" im Fernseher einer Gaststätte."
30,"Weißblaue Turnschuhe","BR","24.6.1973","Veigl",2,"Herbert Rosendorfer","Wolf Dietrich","Erneut ein ungewöhnlicher Einstieg in den Veigl-Tatort: die Titelmelodie läuft nach dem Vorspann auch zu Beginn der ersten Szene weiter."
31,"Kressin und die zwei Damen aus Jade","WDR","08.7.1973","Kressin",7,"Karl Heinz Willschrei","Rolf von Sydow","Letzter Einsatz für Kressin"
32,"Platzverweis für Trimmel","NDR","19.8.1973","Trimmel",6,"Friedhelm Werremeier","Peter Schulze-Rohr",""
33,"Das fehlende Gewicht","SR","30.9.1973","Liersdahl und Schäfermann",2,"Bruno Hampel","Rolf von Sydow","Letzter Fall für Liersdahl, Schäfermann ermittelt in vier weiteren Fällen als alleiniger Hauptermittler"
34,"Tote brauchen keine Wohnung","BR","11.11.1973","Veigl",3,"Michael Molsner","Wolfgang Staudte","Wegen brutaler und menschenverachtender Darstellung eines Miethais jahrelang nicht wiederholt"
35,"Frauenmord","ORF","09.12.1973","Marek",3,"Fritz Eckhardt","Fritz Eckhardt",""
36,"Nachtfrost","NDR","20.1.1974","Finke",4,"Herbert Lichtenfeld","Wolfgang Petersen","Erzielte mit 76 Prozent die höchste bekannte Haushaltsreichweite"
37,"Eine todsichere Sache","HR","17.2.1974","Konrad",4,"Herbert Lichtenfeld","Thomas Fantl",""
38,"Playback oder die Show geht weiter","SWF","17.3.1974","Gerber",2,"Henner Höhs","Rolf von Sydow","Heidi Brühl spielt die Hauptrolle, als sie selbst. Karl-Heinz Köpcke ist als Tagesschau-Sprecher im Fernsehen zu sehen."
39,"Acht Jahre später","WDR","28.4.1974","Haferkamp und Kreutzer",1,"Karl Heinz Willschrei","Wolfgang Becker",""
40,"3:0 für Veigl","BR","26.5.1974","Veigl",4,"Michael Kehlmann, Carl Merz","Michael Kehlmann","Thematisiert die bevorstehende Fußball-Weltmeisterschaft 1974, die zum Zeitpunkt der Handlung der Folge bereits stattfindet. Dies war bis zum Tatort HAL (991) die bislang einzige Tatort-Folge, die in der Zukunft spielt."
41,"Zweikampf","WDR","23.6.1974","Haferkamp und Kreutzer",2,"Karl Heinz Willschrei","Wolfgang Becker",""
42,"Gift","NDR","21.7.1974","Trimmel",7,"Friedhelm Werremeier","Peter Schulze-Rohr",""
43,"Gefährliche Wanzen","SDR","29.9.1974","Lutz",4,"Wolfgang Menge","Theo Mezger","Lutz ermittelt in Karlsruhe."
44,"Mord im Ministerium","ORF","13.10.1974","Marek",4,"Fritz Eckhardt","Fritz Eckhardt",""
45,"Kneipenbekanntschaft","NDR","10.11.1974","Brammer",1,"Hans Drawe, Rüdiger Humpert","Jörg-Michael Baldenius","Gastauftritt von Udo Lindenberg"
46,"Der Mann aus Zimmer 22","WDR","08.12.1974","Haferkamp und Kreutzer",3,"Oliver Storz","Heinz Schirk",""
47,"Die Rechnung wird nachgereicht","HR","19.1.1975","Konrad",5,"Herbert Lichtenfeld","Fritz Umgelter",""
48,"Als gestohlen gemeldet","BR","16.2.1975","Veigl",5,"Erna Fentsch","Wilm ten Haaf",""
49,"Tod eines Einbrechers","SWF","16.3.1975","Gerber",3,"Rolf von Sydow; nach einer Idee von Herbert Lichtenfeld","Rolf von Sydow",""
50,"Wodka Bitter-Lemon","WDR","13.4.1975","Haferkamp und Kreutzer",4,"Henry Kolarz","Franz Peter Wirth",""
51,"Das zweite Geständnis","BR","11.5.1975","Veigl",6,"Michael Molsner","Wilm ten Haaf",""
52,"Die Abrechnung","WDR","08.6.1975","Haferkamp und Kreutzer",5,"Karl Heinz Willschrei","Wolfgang Becker",""
53,"Mordgedanken","NDR","06.7.1975","Brammer",2,"Rainer Boldt, Rüdiger Humpert; nach einem Roman von Stefan Murr","Bruno Jantoss",""
54,"Schöne Belinda","SDR","31.8.1975","Lutz",5,"Urs Aebersold","Theo Mezger","Lutz ermittelt in Ulm; Gastauftritt von Rosy Rosy"
55,"Urlaubsmord","ORF","28.9.1975","Marek",5,"Fritz Eckhardt","Peter Weck",""
56,"Treffpunkt Friedhof","WDR","12.10.1975","Haferkamp und Kreutzer",6,"Werner Kließ","Wolfgang Becker",""
57,"Tod im U-Bahnschacht","SFB","09.11.1975","Schmidt",1,"Peter Stripp","Wolf Gremm","Nach umstrittener Erstsendung jahrelang nicht wiederholt"
58,"Kurzschluß","NDR","07.12.1975","Finke",5,"Herbert Lichtenfeld","Wolfgang Petersen",""
59,"Augenzeuge","SDR","18.1.1976","Lutz",6,"Urs Aebersold","Theo Mezger","Lutz ermittelt in Heidelberg"
60,"Kassensturz","SWF","15.2.1976","Gerber",4,"Hasso Plötze","Michael Braun",""
61,"Zwei Leben","WDR","14.3.1976","Haferkamp und Kreutzer",7,"Karl Heinz Willschrei","Wolfgang Staudte",""
62,"Zwei Flugkarten nach Rio","HR","11.4.1976","Konrad",6,"Herbert Lichtenfeld","Fritz Umgelter","Gastauftritt von Franz Grothe"
63,"Wohnheim Westendstraße","BR","09.5.1976","Veigl",7,"Herbert Rosendorfer","Axel Corti",""
64,"Fortuna III","WDR","07.6.1976","Haferkamp und Kreutzer",8,"Wolfgang Mühlbauer, Hannes Burger","Wolfgang Becker",""
65,"… und dann ist Zahltag","NDR","15.8.1976","Brammer",3,"Werner Jörg Lüddecke nach einem Roman von Joachim Jessen und Detlef Lerch","Jürgen Roland","Brammer fährt am Anfang in Urlaub, mit dem Fall befasst sich größtenteils Kriminalobermeister Ferdinand Hesse in Heiligenhafen."
66,"Annoncen-Mord","ORF","12.9.1976","Marek",6,"Fritz Eckhardt","Peter Weck",""
67,"Trimmel und der Tulpendieb","NDR","10.10.1976","Trimmel",8,"Friedhelm Werremeier","Peter Schulze-Rohr",""
68,"Abendstern","WDR","07.11.1976","Haferkamp und Kreutzer",9,"Herbert Lichtenfeld","Wolfgang Becker",""
69,"Transit ins Jenseits","SFB","05.12.1976","Schmidt",2,"Jens-Peter Behrend, Günter Gräwert","Günter Gräwert",""
70,"Das Mädchen am Klavier","BR","02.1.1977","Veigl",8,"Erna Fentsch","Lutz Büscher",""
71,"Himmelblau mit Silberstreifen","SDR","30.1.1977","Lutz",7,"Fritz Eckhardt","Theo Mezger","Lutz ermittelt in der fiktiven Stadt Weilerburg"
72,"Flieder für Jaczek","HR","27.2.1977","Konrad",7,"Jürgen Scheschkewitz, frei nach dem Roman Vorsicht – Jaczek schießt sofort von Stefan Murr","Fritz Umgelter",""
73,"Reifezeugnis","NDR","27.3.1977","Finke",6,"Herbert Lichtenfeld","Wolfgang Petersen","Debüt der jungen Nastassja Kinski, die sich für den Film auch mehrfach auszog. Mit 25,05 Millionen Zuschauern bei der Erstausstrahlung zweithöchste Zuschauerzahl aller Tatortfolgen."
74,"Finderlohn","SWF","24.4.1977","Gerber",5,"Henry Kolarz","Peter Schulze-Rohr","Letzter Fall dieses Ermittlers"
75,"Spätlese","WDR","22.5.1977","Haferkamp und Kreutzer",10,"Herbert Lichtenfeld","Wolfgang Staudte",""
76,"Wer andern eine Grube gräbt …","SR","19.6.1977","Schäfermann",3,"Hans Peter Kaufmann","Günter Gräwert","Erster Fall von Schäfermann ohne Liersdahl"
77,"Schüsse in der Schonzeit","BR","17.7.1977","Veigl",9,"Willy Purucker","Helmuth Ashley",""
78,"Drei Schlingen","WDR","28.8.1977","Haferkamp und Kreutzer",11,"Karl Heinz Willschrei","Wolfgang Becker","Gastauftritt von Vico Torriani in einem „Film im Film“. Wurde zunächst jahrelang nicht wiederholt, aus Gründen des Jugendschutzes dann minimal gekürzt"
79,"Der vergessene Mord","ORF","11.9.1977","Marek",7,"Fritz Eckhardt","Peter Patzak",""
80,"Feuerzauber","SFB","09.10.1977","Schmidt",3,"Karl Heinz Knuth, Joachim Nottke","Fritz Umgelter","Letzter Fall dieses Ermittlers"
81,"Das stille Geschäft","NDR","06.11.1977","Brammer",4,"Jochen Wedegärtner, Fred Zander","Jürgen Roland","Letzter Fall dieses Ermittlers"
82,"Das Mädchen von gegenüber","WDR","04.12.1977","Haferkamp und Kreutzer",12,"Martin Gies","Hajo Gies",""
83,"Rot – rot – tot","SDR","01.1.1978","Lutz",8,"Karl Heinz Willschrei","Theo Mezger","Lutz ermittelt in Stuttgart; Mit 26,57 Millionen Zuschauern bei der Erstausstrahlung der nach Zuschauerzahl erfolgreichste Tatort aller Zeiten."
84,"Der Mann auf dem Hochsitz","SWF","29.1.1978","Buchmüller",1,"Richard Hey","Erich Neureuther","Debüt der ersten weiblichen Hauptermittlerin in der Serie"
85,"Zürcher Früchte","HR","12.2.1978","Bergmann",1,"Wolfgang Fechtner","Heinz Schirk","Mit 24,91 Millionen Zuschauern bei der Erstausstrahlung dritthöchste Zuschauerzahl aller Tatortfolgen. Erster Fall dieses Ermittlers, der in seinen beiden anderen Fällen von einem anderen Schauspieler dargestellt wird."
86,"Trimmel hält ein Plädoyer","NDR","27.3.1978","Trimmel",9,"Friedhelm Werremeier","Peter Schulze-Rohr",""
87,"Rechnung mit einer Unbekannten","WDR","23.4.1978","Haferkamp und Kreutzer",13,"Peter Hemmer","Wolfgang Becker",""
88,"Schlußverkauf","BR","21.5.1978","Veigl",10,"Konrad Sabrautzky","Wilm ten Haaf",""
89,"Lockruf","WDR","02.7.1978","Haferkamp und Kreutzer",14,"Herbert Lichtenfeld","Wolfgang Becker","Teilweise in der gleichen Dekoration gedreht wie Folge 51 „Fluchtwege“ der ZDF-Krimiserie „Der Kommissar“."
90,"Himmelfahrt","NDR","13.8.1978","Finke",7,"Herbert Lichtenfeld","Rainer Wolffhardt","Letzter Fall dieses Ermittlers."
91,"Der Feinkosthändler","WDR","10.9.1978","Haferkamp und Kreutzer",15,"Martin Gies","Hajo Gies",""
92,"Mord im Krankenhaus","ORF","08.10.1978","Marek",8,"Fritz Eckhardt","Michael Kehlmann",""
93,"Sterne für den Orient","SFB","05.11.1978","Behnke",1,"Georg Alten, Günter Gräwert","Günter Gräwert",""
94,"Schwarze Einser","BR","03.12.1978","Veigl",11,"Willy Purucker","Wolf Dietrich",""
95,"Die Kugel im Leib","WDR","14.1.1979","Haferkamp und Kreutzer",16,"Georg Feil","Wolfgang Staudte",""
96,"Der King","HR","11.2.1979","Konrad",8,"Hans Kelch","Dietrich Haugk","Letzter Einsatz für Klaus Höhne als Konrad."
97,"Alles umsonst","NDR","11.3.1979","Nagel",1,"Theodor Schübel","Hartmut Griesmayr","Einziger Fall dieses Ermittlers"
98,"30 Liter Super","SR","08.4.1979","Schäfermann",4,"Bruno Hampel","Hans-Jürgen Tögel",""
99,"Ende der Vorstellung","BR","06.5.1979","Veigl",12,"Norbert Ehry","Georg Marischka",""
100,"Ein Schuß zuviel","WDR","04.6.1979","Haferkamp und Kreutzer",17,"Wolfgang Mühlbauer","Hartmut Griesmayr",""
101,"Freund Gregor","NDR","01.7.1979","Delius",1,"Fred Zander","Jürgen Roland",""
102,"Zweierlei Knoten","SDR","29.7.1979","Lutz",9,"Karl Heinz Willschrei","Theo Mezger","Lutz ermittelt in Mannheim"
103,"Mitternacht, oder kurz danach","SWF","26.8.1979","Buchmüller",2,"Irene Rodrian","Michael Lähn",""
104,"Gefährliche Träume","SFB","23.9.1979","Behnke",2,"Georg Alten, Günter Gräwert","Günter Gräwert","Letzter Fall dieses Ermittlers"
105,"Mord im Grand-Hotel","ORF","21.10.1979","Marek",9,"Fritz Eckhardt","Georg Lhotsky",""
106,"Schweigegeld","WDR","18.11.1979","Haferkamp und Kreutzer",18,"Herbert Lichtenfeld","Hartmut Griesmayr",""
107,"Maria im Elend","BR","16.12.1979","Veigl",13,"Willy Purucker","Wolf Dietrich",""
108,"Kein Kinderspiel","SDR","13.1.1980","Lutz",10,"Peter Scheibler","Theo Mezger","Lutz ermittelt in Heilbronn"
109,"Der gelbe Unterrock","SWF","10.2.1980","Buchmüller",3,"Kristian Kühn","Kristian Kühn","Wegen mangelnder künstlerischer Qualität bis 2016 nicht wiederholt; letzter Fall dieser Ermittlerin"
110,"Mit nackten Füßen","HR","09.3.1980","Sander",1,"Karl Heinz Willschrei","Franz Peter Wirth","Einziger Fall dieses Ermittlers. Wegen missverständlicher Ausdrucksweise über Epileptiker nicht wiederholt. Diese Tatort-Folge trug den Alternativtitel Mord ohne Reue und wurde von Video Palace auf VHS veröffentlicht."
111,"Der Zeuge","WDR","07.4.1980","Enders",1,"Peter Adam","Peter Adam","Einziger Fall dieses Ermittlers. Haferkamp ist im Urlaub, Enders und Kreutzer ermitteln in Frankfurt."
112,"Hände hoch, Herr Trimmel!","NDR","04.5.1980","Trimmel",10,"Friedhelm Werremeier","Carlheinz Caspari","Assistent Höffgen wird von Karl-Heinz von Hassel dargestellt."
113,"Schußfahrt","WDR","01.6.1980","Haferkamp und Kreutzer",19,"Peter Hemmer","Wolfgang Staudte",""
114,"Spiel mit Karten","BR","27.7.1980","Veigl",14,"Theo Regnier","Wolf Dietrich",""
115,"Streifschuß","NDR","24.8.1980","Piper",1,"Herbert Lichtenfeld","Hartmut Griesmayr",""
116,"Tote reisen nicht umsonst","SR","21.9.1980","Schäfermann",5,"Hans Dieter Schreeb, Hans Georg Thiemt","Rolf von Sydow",""
117,"Mord auf Raten","ORF","19.10.1980","Marek",10,"Fritz Eckhardt","Georg Lhotsky",""
118,"Schönes Wochenende","WDR","16.11.1980","Haferkamp und Kreutzer",20,"Uwe Erichsen","Wolfgang Staudte","Letzter Fall dieses Ermittlerteams. Kreutzer ermittelt in einem weiteren Fall ohne Haferkamp."
119,"Herzjagd","WDR","14.12.1980","Kreutzer",1,"Bernd Schwamm","Axel Corti","Kreutzer war in 20 Folgen der Assistent von Kommissar Haferkamp und hatte hier seinen einzigen Fall als Hauptermittler"
120,"Nebengeschäfte","SDR","11.1.1981","Lutz",11,"Peter Scheibler","Bruno Voges","Lutz ermittelt in Stuttgart"
121,"Schattenboxen","HR","08.2.1981","Bergmann",2,"Hans Kelch, unter Verwendung der Kriminalgeschichte „Ein Mord zur rechten Zeit“ von -ky","Fritz Umgelter","Zweiter Fall dieses Ermittlers, der in seinem ersten Fall von einem anderen Schauspieler dargestellt wurde."
122,"Beweisaufnahme","SFB","08.3.1981","Walther",1,"Herbert Lichtenfeld","Peter Keglevic",""
123,"Usambaraveilchen","BR","20.4.1981","Veigl",15,"Herbert Rosendorfer","Wilm ten Haaf","Letzter Fall dieses Ermittlers."
124,"Das Lederherz","SWF","03.5.1981","Wiegand",1,"Irene Rodrian","Imo Moszkowicz",""
125,"Das Zittern der Tenöre","NDR","31.5.1981","Greve",1,"Hansjörg Martin","Hans Dieter Schwarze","Einziger Fall dieses Ermittlers."
126,"Duisburg-Ruhrort","WDR","28.6.1981","Schimanski und Thanner",1,"Thomas Wittenburg, Horst Vocks","Hajo Gies","Erster Schimanski-Tatort"
127,"Katz und Mäuse","SFB","23.8.1981","Walther",2,"Karl Heinz Knuth, Joachim Nottke","Eberhard Itzenplitz",""
128,"Slalom","NDR","13.9.1981","Beck",1,"Claus Bender, Wolfgang Storch","Wolfgang Storch","Einziger Fall dieses Ermittlers"
129,"Mord in der Oper","ORF","18.10.1981","Marek",11,"Fritz Eckhardt","Wolfgang Glück",""
130,"Im Fadenkreuz","BR","15.11.1981","Lenz",1,"Peter Hemmer","Thomas Engel",""
131,"Grenzgänger","WDR","13.12.1981","Schimanski und Thanner",2,"Felix Huby","Ilse Hofmann",""
132,"Blinde Wut","SDR","10.1.1982","Lutz",12,"Peter Scheibler","Theo Mezger","Lutz ermittelt in Stuttgart"
133,"So ein Tag …","HR","07.2.1982","Rolfs",1,"Jürgen Roland, Uwe Erichsen","Jürgen Roland","Einziger Fall dieses Ermittlers"
134,"Der unsichtbare Gegner","WDR","07.3.1982","Schimanski und Thanner",3,"Horst Vocks, Thomas Wittenburg","Hajo Gies",""
135,"Tod auf dem Rastplatz","BR","12.4.1982","Lenz",2,"Frank Lämmel","Wilm ten Haaf","Mit 62:10 Minuten außergewöhnlich kurz"
136,"Wat Recht is, mutt Recht blieben","NDR","02.5.1982","Schnoor",1,"Boy Lornsen, Elke Loewe","Volker Vogeler","Einziger Fall dieses Ermittlers. Teilweise in niederdeutscher Sprache gesprochen und hochdeutsch untertitelt"
137,"Sterben und sterben lassen","SFB","31.5.1982","Walther",3,"Bernhard Frey, Jens-Peter Behrend","Peter Keglevic",""
138,"Das Mädchen auf der Treppe","WDR","27.6.1982","Schimanski und Thanner",4,"Martin Gies","Peter Adam",""
139,"Blaßlila Briefe","SWF","25.7.1982","Wiegand",2,"Kurt Rittig","Stanislav Barabáš","Mit 102:24 Minuten außergewöhnlich lang. Wiegand ermittelt in Freiburg."
140,"Kindergeld","NDR","22.8.1982","Piper",2,"Herbert Lichtenfeld","Hartmut Griesmayr","Letzter Fall dieses Ermittlers"
141,"Trimmel und Isolde","NDR","19.9.1982","Trimmel",11,"Friedhelm Werremeier","Peter Weck","Letzter Einsatz für Trimmel"
142,"Mordkommando","ORF","17.10.1982","Marek",12,"Fritz Eckhardt","Jochen Bauer",""
143,"Kuscheltiere","WDR","12.12.1982","Schimanski und Thanner",5,"Chiem van Houweninge","Hajo Gies",""
144,"Mord ist kein Geschäft","SDR","09.1.1983","Lutz",13,"Felix Huby","Theo Mezger","Lutz ermittelt in Stuttgart"
145,"Fluppys Masche","SFB","06.2.1983","Walther",4,"Karl Heinz Knuth, Joachim Nottke","Wolfgang Luderer",""
146,"Miriam","WDR","03.4.1983","Schimanski und Thanner",6,"Horst Vocks, Thomas Wittenburg","Peter Adam",""
147,"Blütenträume","HR","01.5.1983","Bergmann",3,"Bruno Hampel","Claus Peter Witt","Dritter Fall dieses Ermittlers, der in seinem ersten Fall von einem anderen Schauspieler dargestellt wurde."
148,"Peggy hat Angst","SWF","23.5.1983","Wiegand",3,"Norbert Ehry","Wolfgang Becker",""
149,"Wenn alle Brünnlein fließen","NDR","26.6.1983","Ronke",1,"Detlef Müller","Pete Ariel","Einziger Fall dieses Ermittlers"
150,"Mord in der U-Bahn","ORF","18.9.1983","Marek a. D.",13,"Fritz Eckhardt","Kurt Junek","Marek wurde vor diesem Fall pensioniert, und Oberinspektor Glauber übernimmt die Leitung des Kommissariats. Dann wird Glauber suspendiert und Bezirksinspektor Wirz wird Kommissariatsleiter. Dies ist Mareks letzter Fall, er hatte später noch mehrere Gastauftritte. Die Figur des Wirz wurde ab dem nächsten Fall mit dem Oberinspektor Hirth vom Sicherheitsbüro ersetzt."
151,"Roulette mit 6 Kugeln","BR","16.10.1983","Lenz",3,"Peter Hemmer","Lutz Büscher",""
152,"Der Schläfer","NDR","06.11.1983","Delius",2,"Jochen Wedegärtner","Jürgen Roland",""
153,"Rubecks Traum","HR","08.1.1984","Rullmann",1,"Heinz Schirk","Heinz Schirk","Einziger Fall dieses Ermittlers."
154,"Freiwild","SFB","05.2.1984","Walther",5,"Heinz-Dieter Ziesing","Wolfgang Staudte",""
155,"Verdeckte Ermittlung","SDR","26.2.1984","Lutz",14,"Peter Scheibler","Theo Mezger","Lutz ermittelt in Stuttgart"
156,"Kielwasser","WDR","25.3.1984","Schimanski und Thanner",7,"Chiem van Houweninge","Hajo Gies",""
157,"Haie vor Helgoland","NDR","23.4.1984","Stoever",1,"Peter Hemmer","Hartmut Griesmayr",""
158,"Täter und Opfer","SWF","27.5.1984","Wiegand",4,"Peter Hemmer","Ilse Hofmann",""
159,"Zweierlei Blut","WDR","22.7.1984","Schimanski und Thanner",8,"Fred Breinersdorfer, Felix Huby","Hajo Gies","Mit Dietmar Bär, dem späteren Kommissar Freddy Schenk"
160,"Gelegenheit macht Liebe","NDR","19.8.1984","Stoever",2,"Peter Hemmer","Pete Ariel",""
161,"Heißer Schnee","BR","09.9.1984","Lenz",4,"Plym Pahl","Wilma Kottusch",""
162,"Geburtstagsgrüße","SR","04.11.1984","Schäfermann",6,"Herbert Lichtenfeld","Georg Tressler","Letzter Fall dieses Ermittlers"
163,"Der Mann mit den Rosen","ORF","25.11.1984","Hirth",1,"Harald Mini, Kurt Junek","Kurt Junek",""
164,"Rechnung ohne Wirt","WDR","09.12.1984","Schimanski und Thanner",9,"Peter Adam","Peter Adam",""
165,"Ordnung ist das halbe Sterben","SFB","06.1.1985","Walther",6,"Detlef Michel","Wolfgang Tumler","Letzter Fall dieses Ermittlers"
166,"Acht, neun – aus","HR","10.2.1985","Dietze",1,"Jürgen Roland, Uwe Erichsen","Jürgen Roland","Einziger Fall dieses Ermittlers"
167,"Doppelspiel","WDR","31.3.1985","Schimanski und Thanner",10,"Christoph Fromm","Hajo Gies",""
168,"Irren ist tödlich","NDR","14.4.1985","Stoever",3,"Peter Hemmer","Wolfgang Storch",""
169,"Miese Tricks","SDR","26.5.1985","Lutz",15,"Karl Heinz Willschrei","Theo Mezger","Lutz ermittelt in Karlsruhe"
170,"Der Mord danach","SWF","23.6.1985","Wiegand",5,"Sylvia Hoffman","Iwan Schumacher",""
171,"Das Haus im Wald","WDR","18.8.1985","Schimanski und Thanner",11,"Peter Adam","Peter Adam",""
172,"Nachtstreife","ORF","15.9.1985","Hirth",2,"Leo Frank","Jochen Bauer",""
173,"Schmerzensgeld","HR","13.10.1985","Brinkmann",1,"Hans Kelch","Wolfgang Luderer","Nach Motiven des Kriminalromans Die Patentlösung von Peter Hebel"
174,"Tod macht erfinderisch","SFB","10.11.1985","Bülow",1,"Detlef Michel","Rolf von Sydow",""
175,"Baranskis Geschäft","NDR","01.12.1985","Delius a.D.",3,"Friedhelm Werremeier, Jochen Wedegärtner","Jürgen Roland","Letzter Fall dieses Ermittlers"
176,"Schicki-Micki","BR","29.12.1985","Lenz",5,"Ernst Fischer, Herbert Riehl-Heyse","Hans-Reinhard Müller",""
177,"Die kleine Kanaille","SFB","26.1.1986","Bülow",2,"Dieter Schubert","Rolf von Sydow",""
178,"Einer sah den Mörder","SDR","23.2.1986","Lutz und Schreitle",16,"Fritz Eckhardt","Theo Mezger","Lutz ermittelt in Stuttgart; er ist einer der Tatverdächtigen und gibt die Ermittlungen am Anfang offiziell an Schreitle ab, ermittelt aber privat weiter; letzter Fall von Lutz."
179,"Leiche im Keller","NDR","31.3.1986","Stoever und Brockmöller",4,"Kurt Bartsch","Pete Ariel",""
180,"Der Tausch","WDR","13.4.1986","Schimanski und Thanner",12,"Hartmut Grund, Chiem van Houweninge","Ilse Hofmann",""
181,"Riedmüller, Vorname Sigi","BR","19.5.1986","Riedmüller",1,"Franz Xaver Wendleder","Michael Kehlmann","Einziger Fall dieses Ermittlers."
182,"Aus der Traum","SWF","15.6.1986","Wiegand",6,"Norbert Ehry","Hansgünther Heyme",""
183,"Tödliche Blende","SFB","13.7.1986","Bülow",3,"Rolf von Sydow","Horst Flick",""
184,"Schwarzes Wochenende","WDR","10.8.1986","Schimanski und Thanner",13,"Bernd Schwamm, Dominik Graf, Michael Hatry","Dominik Graf",""
